Name,Cuisine,Location,rating,num_of_rating,price_for_two
Great Indian Khichdi By Eatfit,"Home Food, Indian","Chuna Mandi Paharganj, Gole Market",4.2,100,200
Naivedyam,South Indian,"Connaught Place, Connaught Place",4.2,50,300
Minar Restaurant,Indian,"Connaught Place, Connaught Place",4.2,20,1200
Bijoli Grill,"North Indian, Chinese","Banga Bhawan, Mandi House",4.2,50,500
Royal Restaurant,North Indian,"Cp, Barakhamba",4.2,50,400
Chai Point,"Bakery, Beverages","Connaught Place, Connaught Place",4.2,500,150
Andhra Canteen,"South Indian, Biryani","Khan Market, Connaught Place",4.2,20,250
Baskin Robbins,"Desserts, Ice Cream","L-12 Connaught Place, L-12 Connaught Place",4.2,20,250
Mughlai Junction,"Mughlai, North Indian","Connaught Place, Connaught Place",4.2,100,600
Sandoz ,"Indian, Chinese","Connaught Place, Connaught Place",4.2,100,350
Burger Singh (Big Punjabi Burgers),"Snacks, Fast Food","Outer Circle, Connaught Place",4.2,100,300
Chaayos Chai+Snacks=Relax,"Bakery, Beverages","Chaayos C P - F Block, Connaught Place, Connaught Place",4.2,500,250
Taco Bell,Mexican,"Connaught Circus Outer Circle, Connaught Place",4.2,500,300
Creme N Crisp,"Desserts, Bakery","Gole Market, Gole Market",4.2,100,400
Biryani By Kilo,"Biryani, Mughlai","N Block, Connaught Place",4.2,500,700
Hira Sweets,"North Indian, South Indian","Connaught Place, Connaught Place",4.2,1000,600
Bercos - If You Love Chinese,"Chinese, Thai","Middle Circle, Connaught Place",4.2,100,600
Biryani Blues,"Biryani, Hyderabadi","Scindia House, Connaught Place",4.2,500,400
Momos House,"Chinese, Thai","Gautam Nagar, Gautam Nagar",4.1,100,200
Vermaji Parathe Wale,North Indian,"Gautam Nagar, Yusuf Sarai",4.1,100,300
Breakfast Point,Indian,"Bhagat Singh Road, Krishna Nagar",4.1,20,150
Chinese Daily,"Pan-Asian, Chinese","Kirti Nagar, Kirti Nagar Industrial Area, Kirti Nagar",4.1,100,400
Doner & Gyros,"Lebanese, Middle Eastern","Gtb Nagar, Gtb Nagar",4.1,100,550
Tikka Fatory,"Chinese, Snacks","Laxmi Nagar, Laxmi Nagar",4.1,100,300
Waffle Nation,"Desserts, Ice Cream","Gtb Nagar, Vijay Nagar",4.1,100,100
Super Snacks ,"North Indian, Chinese","Laxmi Nagar, Ghondi Chowk",4.1,1000,250
Radhe Krishna Chole Bhature,"Opens Next At 8:30 Am, Tomorrownorth Indian","Geeta Colony, Krishna Nagar",4.1,100,150
Sialkot Vegetarian(Pyare Lal),North Indian,"Geeta Colony, Geeta Colony",4.1,100,250
Bite N Sip,"North Indian, Continental","Bhikaji Cama, Rama Krishna Puram",4.1,50,250
Fitchef,"Healthy Food, Salads","Mangal Bazaar, Updated",4.1,100,400
Vip Rdx Resto & Bar,North Indian,"Hauz Khas, Safdarjung Enclave",4.1,100,350
Jain Dhaba,"Tandoor, Indian","Laxmi Nagar, Shahdara",4.1,100,200
Wicked Waffles,"Desserts, Beverages","Preet Vihar, Preet Vihar",4.1,50,200
Gupta'S Restaurant,North Indian,"South Extension 2, South Extension Ii",4.1,100,300
Pasta Unplugged,"Pastas, Italian","Lajpat Nagar, Lajpat Nagar",4.1,100,500
Chinese Hawker,"Pan-Asian, Chinese","Mayur Vihar, Patparganj",4.1,500,300
Arabian Delites,"Arabian, Lebanese","Defence Colony, Defence Colony",4.1,50,200
Qureshi'S Kabab Corner,"Indian, Mughlai","Defence Colony, Lajpat Nagar",4.1,50,500
Nyc.Pie ,"Pizzas, Italian","New Lajpat Nagar, Lajpat Nagar",4.1,50,400
Biryani Hazir Ho,"Biryani, North Indian","South Extension, South Extension",4.1,50,300
Shivani Food House,"Indian, Snacks","Kotla Mubarakpur, Kotla Mubarakpur",4.1,50,200
Nagpal Haveli Bld,"Beverages, Salads","Lajpat Nagar, Lajpat Nagar",4.1,20,200
7Th Heaven,"Bakery, Desserts","Mayur Vihar, Mayur Vihar",4.1,50,250
Firangi Bake,"Italian, Mexican","Kotla Mubarak Pur, South Extension I",4.1,20,400
Sweet Truth - Cake And Desserts,"Ice Cream, Bakery","Kotla Mubarak Pur, South Extension I",4.1,50,450
Amici Cafe,Italian,"South Extension, Defence Colony",4.1,20,1500
28 Capri Italy,Italian,"Lajpat Nagar, Defence Colony",4.1,50,1000
Love & Cheesecake,"Desserts, Bakery","South Extension, Defence Colony",4.1,20,900
Maddi Sweet Center,Sweets,"Hauz Khas, South Extenison",4.1,50,200
Mehta Food Junction,North Indian,"Laxmi Nagar, Shakarpur Khas",4.1,100,300
Beliram Degchiwala (Jangpura),"Mughlai, North Indian","Jangpura, Jungpura Extension",4.1,20,700
Urban Vada Pav,Snacks,"Laxmi Nagar, Shakarpur Khas",4.1,100,150
Fujiya,"Chinese, Japanese","Malcha Marg, Chanakyapuri",4.1,50,1500
Lunchbox - Meals And Thalis,"North Indian, Punjabi","Rajdner Place, Rajendra Place",4.1,100,200
Qd'S,"North Indian, Chinese","Karol Bagh, Krishna Nagar, Karol Bagh",4.1,1000,350
South Indian Cafe,"South Indian, Chinese","Rajinder Nagar, New Rajinder Nagar",4.1,100,200
Aunty'S Paranthe,"North Indian, Fast Food","Karol Bagh, Karol Bagh",4.1,100,200
Nagpal Chole Bhature,North Indian,"Karol Bagh, Karol Bagh",4.1,50,250
New Tera Hotel,North Indian,"Ghaffar Market, Arya Samaj Road, Karol Bagh",4.1,100,150
Changezi Chicken (Daryaganj),"Indian, Mughlai","Daryaganj, Daryaganj",4.1,50,400
Roshan Di Kulfi,"Street Food, Desserts","Karol Bagh, Beadonpura, Karol Bagh",4.1,500,250
Zaika (Daryaganj),"North Indian, Mughlai","Daryaganj, Daryaganj",4.1,100,600
